"id","service_id","name","subjective_code","framework_subjective_code","type","cost_type","billing","cost_operation","payment_operation","non_personal_budget","position","is_archived","is_s117"
1,1,"Shared Lives Hackney Adult Placement Scheme","520070",,"service","weekly","supplier",1,1,TRUE,101,FALSE,FALSE
2,1,"Additional Needs Payment","520070",,"service","weekly","supplier",1,1,TRUE,102,FALSE,FALSE
3,1,"Holiday Payment Hackney Adult Placement Scheme (Shared Lives)","520070",,"service","weekly","supplier",1,1,TRUE,103,FALSE,FALSE
4,2,"Supported Living Core Costs/Accommodation (weekly)","520070",,"service","weekly","supplier",1,1,FALSE,201,FALSE,FALSE
5,2,"Additional Needs Payment","520070",,"service","hourly","supplier",1,1,FALSE,202,FALSE,FALSE
6,2,"Day Opportunities (hourly)","520070",,"service","hourly","supplier",1,1,FALSE,203,FALSE,FALSE
7,2,"Day Opportunities (daily)","520070",,"service","daily","supplier",1,1,FALSE,204,FALSE,FALSE
8,2,"Extra Hours (hourly)","520070",,"service","hourly","supplier",1,1,FALSE,205,FALSE,FALSE
9,2,"Sleeping Nights (hourly)","520070",,"service","hourly","supplier",1,1,FALSE,206,FALSE,FALSE
10,2,"Waking Nights (per night)","520070",,"service","daily","supplier",1,1,FALSE,207,FALSE,FALSE
11,5,"Direct Payment - Day Care (weekly)","520085",,"service","weekly","supplier",1,1,FALSE,501,FALSE,FALSE
12,5,"Direct Payment - Personal Care (hourly)","520085",,"service","hourly","supplier",1,1,FALSE,502,FALSE,FALSE
13,5,"Direct Payment - Personal Care (weekly)","520085",,"service","weekly","supplier",1,1,FALSE,503,FALSE,FALSE
14,5,"Direct Payment - Transport (weekly)","520085",,"service","transport","supplier",1,1,FALSE,504,FALSE,FALSE
15,5,"Direct Payment (One off set up cost)","520085",,"service","one_off","supplier",0,0,FALSE,505,FALSE,FALSE
16,5,"Direct Payment (other one off payment)","520085",,"service","one_off","supplier",0,0,FALSE,506,FALSE,FALSE
17,5,"Direct Payment (Carer Respite one off payment)","520085",,"service","one_off","supplier",0,0,FALSE,507,FALSE,FALSE
18,5,"Direct Payment Clawback (from service user)","520085",,"service","weekly","supplier",0,-1,FALSE,508,FALSE,FALSE
19,5,"Direct Payment to third party - Day Care (weekly)","520085",,"service","weekly","supplier",1,1,FALSE,509,FALSE,FALSE
20,5,"Direct Payment to third party - Personal Care (hourly)","520085",,"service","hourly","supplier",1,1,FALSE,510,FALSE,FALSE
21,5,"Direct Payment to third party - Personal Care (weekly)","520085",,"service","weekly","supplier",1,1,FALSE,511,FALSE,FALSE
22,5,"Direct Payment to third party - Transport (weekly)","520085",,"service","transport","supplier",1,1,FALSE,512,FALSE,FALSE
23,5,"Direct Payment to third party (once off set up cost)","520085",,"service","one_off","supplier",0,0,FALSE,513,FALSE,FALSE
24,5,"Direct Payment to third party (other one off payments)","520085",,"service","one_off","supplier",0,0,FALSE,514,FALSE,FALSE
25,5,"Direct Payment to third party (Carer respite one off payment)","520085",,"service","one_off","supplier",0,0,FALSE,515,FALSE,FALSE
26,6,"Day opportunity (hourly)","520110",,"service","hourly","supplier",1,1,FALSE,601,FALSE,FALSE
27,6,"Day opportunity - external provider (daily)","520110",,"service","daily","supplier",1,1,FALSE,602,FALSE,FALSE
28,6,"Day opportunity - internal provider (daily)","520055",,"service","daily","none",1,1,FALSE,603,FALSE,FALSE
29,6,"Day opportunity - transport - external provider","520110",,"service","transport","supplier",1,1,FALSE,604,FALSE,FALSE
30,6,"Day opportunity - transport - internal provider","520075",,"service","transport","none",1,1,FALSE,605,FALSE,FALSE
31,7,"Personal Home Care (hourly)","520050","520060","service","hourly","supplier",1,1,FALSE,701,FALSE,FALSE
32,7,"Personal Home Care (weekly)","520050","520061","service","weekly","supplier",1,1,FALSE,702,FALSE,FALSE
33,7,"Personal Home Care - Additional Carer (hourly)","520050","520058","service","hourly","supplier",1,1,FALSE,703,FALSE,FALSE
34,7,"Escort (hourly)","520050","520054","service","hourly","supplier",1,1,FALSE,704,FALSE,FALSE
